Country,Year,Electricity installed capacity in Total renewable energy (MW),Electricity installed capacity in Hydropower (MW),Electricity installed capacity in Wind (MW),Electricity installed capacity in Solar (MW),Electricity installed capacity in Bioenergy (MW),Electricity installed capacity in Geothermal (MW),Electricity export (GWh),Electricity import (GWh),Electricity final consumption (GWh),"Electricity generation, Total (GWh)",Electricity generated from fossil fuels (GWh),Electricity generated from nuclear power (GWh),Electricity generated from renewable sources (GWh),Electricity generated from hydropower (GWh),"Electricity generated from solar, wind, tide, wave and other sources (GWh)",Electricity generated from biofuels and waste (GWh),Electricity generated from geothermal energy (GWh),Population access to electricity-National (% of population),Population access to electricity-Urban (% of population),Population access to electricity-Rural (% of population),Electricity generation per Capita (KWh),Electricity final consumption per capita (KWh),,,,,,,,,,,,
Egypt,2017,3797.00,2800.00,750.00,180.00,67.00,0.00,720.90,79.90,168472.10,196617.60,180692.10,0.00,15925.50,13674.50,2251.00,0.00,0.00,100.00,100.00,100.00,2015.50,1727.00,,,,,,,,,,,,
Egypt,2018,4789.20,2832.00,1125.00,765.20,67.00,0.00,756.40,77.50,160778.10,198970.90,182833.00,0.00,16137.90,13860.80,2277.10,0.00,0.00,100.00,100.00,100.00,2002.20,1617.90,,,,,,,,,,,,
Egypt,2019,5947.70,2832.00,1375.00,1662.20,78.50,0.00,706.60,78.00,167156.00,201414.90,185061.10,0.00,16353.80,14049.80,2304.00,0.00,0.00,100.00,100.00,100.00,1990.90,1652.30,,,,,,,,,,,,
Egypt,2020,5980.20,2832.00,1375.00,1694.20,79.00,0.00,672.60,90.10,173946.00,203949.00,187374.80,0.00,16574.20,14241.70,2332.60,0.00,0.00,NA,NA,NA,1981.20,1689.80,,,,,,,,,,,,
Equatorial Guinea,2013,125.60,125.60,0.00,0.00,0.00,0.00,0.00,0.00,360.80,53.50,36.00,0.00,17.50,17.50,0.00,0.00,0.00,65.80,92.00,5.70,49.30,333.00,,,,,,,,,,,,
Equatorial Guinea,2014,125.60,125.60,0.00,0.00,0.00,0.00,0.00,0.00,647.90,478.00,35.00,0.00,443.00,443.00,0.00,0.00,0.00,65.90,91.90,5.00,423.20,573.70,,,,,,,,,,,,
Equatorial Guinea,2015,125.60,125.60,0.00,0.00,0.00,0.00,0.00,0.00,668.20,500.00,33.10,0.00,466.90,466.90,0.00,0.00,0.00,66.00,91.70,4.30,425.40,568.50,,,,,,,,,,,,
Equatorial Guinea,2016,125.60,125.60,0.00,0.00,0.00,0.00,0.00,0.00,727.70,513.20,41.90,0.00,471.30,471.30,0.00,0.00,0.00,66.10,91.50,3.70,420.10,595.70,,,,,,,,,,,,
Equatorial Guinea,2017,125.60,125.60,0.00,0.00,0.00,0.00,0.00,0.00,549.50,466.20,28.00,0.00,438.20,438.20,0.00,0.00,0.00,66.30,91.30,3.20,367.70,433.50,,,,,,,,,,,,
Equatorial Guinea,2018,127.10,127.10,0.00,0.00,0.00,0.00,0.00,0.00,1204.50,472.40,29.50,0.00,442.90,442.90,0.00,0.00,0.00,66.40,91.10,2.60,359.60,916.80,,,,,,,,,,,,
Equatorial Guinea,2019,127.10,127.10,0.00,0.00,0.00,0.00,0.00,0.00,1271.40,479.60,31.10,0.00,448.40,448.40,0.00,0.00,0.00,66.60,90.90,2.20,352.60,934.80,,,,,,,,,,,,
Equatorial Guinea,2020,127.20,127.10,0.00,0.10,0.00,0.00,0.00,0.00,1370.80,487.60,32.80,0.00,454.80,454.80,0.00,0.00,0.00,NA,NA,NA,346.70,974.70,,,,,,,,,,,,
Eritrea,2013,0.90,0.00,0.80,0.00,0.00,0.00,0.00,0.00,295.00,367.40,361.00,0.00,6.40,0.00,6.40,0.00,0.00,43.20,76.70,23.60,79.00,63.40,,,,,,,,,,,,
Eritrea,2014,8.70,0.00,0.80,7.90,0.00,0.00,0.00,0.00,283.00,395.00,386.00,0.00,9.00,0.00,9.00,0.00,0.00,44.40,76.50,25.10,83.20,59.60,,,,,,,,,,,,
Eritrea,2015,8.70,0.00,0.80,7.90,0.00,0.00,0.00,0.00,311.60,406.00,404.00,0.00,2.00,0.00,2.00,0.00,0.00,45.60,76.30,26.60,83.80,64.30,,,,,,,,,,,,
Eritrea,2016,9.00,0.00,0.80,8.20,0.00,0.00,0.00,0.00,338.00,421.00,419.00,0.00,2.00,0.00,2.00,0.00,0.00,46.80,76.20,28.10,85.00,68.20,,,,,,,,,,,,
Eritrea,2017,11.00,0.00,0.80,10.20,0.00,0.00,0.00,0.00,353.20,434.00,432.00,0.00,2.00,0.00,2.00,0.00,0.00,48.00,76.00,29.70,85.60,69.70,,,,,,,,,,,,
Eritrea,2018,18.50,0.00,0.80,17.70,0.00,0.00,0.00,0.00,369.80,447.80,445.70,0.00,2.10,0.00,2.10,0.00,0.00,49.20,75.80,31.40,86.30,71.30,,,,,,,,,,,,
Eritrea,2019,20.80,0.00,0.80,20.00,0.00,0.00,0.00,0.00,388.10,462.30,460.10,0.00,2.10,0.00,2.10,0.00,0.00,50.40,75.70,33.00,87.10,73.10,,,,,,,,,,,,
Eritrea,2020,23.00,0.00,0.80,22.20,0.00,0.00,0.00,0.00,408.20,477.50,475.30,0.00,2.20,0.00,2.20,0.00,0.00,NA,NA,NA,87.90,75.10,,,,,,,,,,,,
Gabon,2013,331.60,330.20,0.00,1.40,0.00,0.00,0.00,184.00,1729.00,2265.70,1320.00,0.00,945.70,931.90,3.60,10.20,0.00,86.40,94.30,32.80,1246.80,951.40,,,,,,,,,,,,
Gabon,2014,331.60,330.20,0.00,1.40,0.00,0.00,0.00,388.00,1989.00,3219.00,2408.90,0.00,810.10,794.50,5.60,10.00,0.00,87.00,96.30,20.80,1716.20,1060.40,,,,,,,,,,,,
Gabon,2015,332.80,330.20,0.00,1.40,1.20,0.00,0.00,337.00,2095.20,3377.70,2502.50,0.00,875.20,862.40,2.00,10.80,0.00,87.30,96.70,17.70,1750.00,1085.50,,,,,,,,,,,,
Gabon,2016,332.90,330.30,0.00,1.40,1.20,0.00,0.00,344.00,2008.00,3091.90,2147.50,0.00,944.40,930.40,2.00,12.00,0.00,88.20,97.10,18.90,1561.70,1014.30,,,,,,,,,,,,
Gabon,2017,332.90,330.30,0.00,1.40,1.20,0.00,0.00,369.40,2123.10,3195.90,2168.20,0.00,1027.60,1012.60,2.00,13.00,0.00,86.30,94.60,19.00,1578.10,1048.40,,,,,,,,,,,,
Gabon,2018,332.90,330.30,0.00,1.40,1.20,0.00,0.00,402.60,2147.10,2670.90,1561.90,0.00,1109.00,1100.00,2.00,7.00,0.00,89.80,97.90,22.10,1291.80,1038.50,,,,,,,,,,,,
Gabon,2019,332.90,330.30,0.00,1.40,1.20,0.00,0.00,406.90,2275.20,2787.30,1578.50,0.00,1208.90,1199.20,2.10,7.60,0.00,90.70,98.30,24.20,1321.60,1078.80,,,,,,,,,,,,
Gabon,2020,332.90,330.30,0.00,1.40,1.20,0.00,0.00,411.90,2415.90,2915.10,1595.60,0.00,1319.40,1309.10,2.10,8.20,0.00,NA,NA,NA,1355.00,1123.00,,,,,,,,,,,,
Gambia,2013,3.10,0.00,1.00,2.00,0.00,0.00,0.00,0.00,1208.00,238.40,236.40,0.00,2.00,0.00,2.00,0.00,0.00,51.50,67.00,30.30,128.20,649.70,,,,,,,,,,,,
Gambia,2014,3.30,0.00,1.20,2.10,0.00,0.00,0.00,0.00,1232.60,310.00,304.00,0.00,6.00,0.00,6.00,0.00,0.00,53.00,70.80,27.70,161.60,642.70,,,,,,,,,,,,
Gambia,2015,3.40,0.00,1.20,2.20,0.00,0.00,0.00,0.00,147.70,315.80,309.80,0.00,6.10,0.00,6.10,0.00,0.00,54.40,72.40,28.40,159.70,74.70,,,,,,,,,,,,
Gambia,2016,3.40,0.00,1.20,2.20,0.00,0.00,0.00,0.00,149.20,322.00,315.90,0.00,6.10,0.00,6.10,0.00,0.00,56.00,74.10,28.90,158.00,73.20,,,,,,,,,,,,
Gambia,2017,3.40,0.00,1.20,2.20,0.00,0.00,0.00,0.00,155.50,328.60,322.30,0.00,6.20,0.00,6.20,0.00,0.00,56.20,79.40,20.50,156.40,74.00,,,,,,,,,,,,
Gambia,2018,3.40,0.00,1.20,2.20,0.00,0.00,0.00,0.00,162.20,335.50,329.10,0.00,6.40,0.00,6.40,0.00,0.00,60.30,76.40,34.80,155.00,74.90,,,,,,,,,,,,
Gambia,2019,3.40,0.00,1.20,2.20,0.00,0.00,0.00,0.00,169.40,342.70,336.30,0.00,6.50,0.00,6.50,0.00,0.00,59.90,79.80,27.60,153.80,76.00,,,,,,,,,,,,
Gambia,2020,3.40,0.00,1.20,2.20,0.00,0.00,0.00,0.00,177.30,350.40,343.80,0.00,6.60,0.00,6.60,0.00,0.00,NA,NA,NA,152.80,77.30,,,,,,,,,,,,
Ghana,2013,1589.80,1580.00,0.00,3.00,6.80,0.00,530.00,27.00,8286.00,12871.00,4635.00,0.00,8236.00,8233.00,3.00,0.00,0.00,70.70,88.50,50.80,488.50,314.50,,,,,,,,,,,,
Ghana,2014,1593.10,1580.00,0.00,4.80,8.30,0.00,522.00,51.00,9808.00,12963.00,4572.00,0.00,8391.00,8387.00,4.00,0.00,0.00,78.30,90.80,64.00,480.80,363.80,,,,,,,,,,,,
Ghana,2015,1622.60,1584.00,0.00,29.70,8.40,0.00,587.00,223.00,9399.10,11491.00,5643.00,0.00,5848.00,5845.00,3.00,0.00,0.00,74.20,88.00,57.80,416.60,340.80,,,,,,,,,,,,
Ghana,2016,1626.40,1584.00,0.00,33.60,8.40,0.00,511.00,186.60,8416.00,13044.40,7435.00,0.00,5609.40,5582.40,27.00,0.00,0.00,79.30,89.80,66.60,462.50,298.40,,,,,,,,,,,,
Ghana,2017,1631.40,1584.00,0.00,38.60,8.40,0.00,524.00,503.00,12094.00,14068.00,8424.00,0.00,5644.00,5616.10,27.90,0.00,0.00,79.00,90.00,65.30,487.90,419.40,,,,,,,,,,,,
Ghana,2018,1655.70,1584.00,0.00,62.90,8.40,0.00,1120.20,520.20,12388.30,14696.20,8703.70,0.00,5992.60,5963.60,28.90,0.00,0.00,80.40,89.90,68.30,498.80,420.50,,,,,,,,,,,,
Ghana,2019,1656.10,1584.00,0.00,63.30,8.40,0.00,1098.50,508.70,12705.40,15379.60,9017.30,0.00,6362.30,6332.00,30.30,0.00,0.00,83.50,93.80,70.00,511.00,422.10,,,,,,,,,,,,
Ghana,2020,1662.60,1584.00,0.00,69.80,8.40,0.00,1238.30,659.80,13045.80,16122.40,9366.60,0.00,6755.80,6723.50,32.20,0.00,0.00,NA,NA,NA,524.60,424.50,,,,,,,,,,,,
Guinea-Bissau,2013,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.30,74.60,74.60,0.00,0.00,0.00,0.00,0.00,0.00,16.20,27.90,8.00,44.40,22.20,,,,,,,,,,,,
Guinea-Bissau,2014,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.50,139.00,136.00,0.00,3.00,0.00,3.00,0.00,0.00,17.20,33.10,5.80,80.50,40.30,,,,,,,,,,,,
Guinea-Bissau,2015,0.30,0.00,0.00,0.30,0.00,0.00,0.00,0.00,73.30,146.90,143.90,0.00,3.00,0.00,3.00,0.00,0.00,20.10,36.30,8.40,83.00,41.40,,,,,,,,,,,,
Guinea-Bissau,2016,0.30,0.00,0.00,0.30,0.00,0.00,0.00,0.00,74.50,156.10,153.10,0.00,3.00,0.00,3.00,0.00,0.00,23.00,40.90,9.80,86.00,41.10,,,,,,,,,,,,
Guinea-Bissau,2017,0.30,0.00,0.00,0.30,0.00,0.00,0.00,0.00,76.00,166.60,163.60,0.00,3.00,0.00,3.00,0.00,0.00,26.00,45.60,11.30,89.50,40.80,,,,,,,,,,,,
Guinea-Bissau,2018,1.20,0.00,0.00,1.20,0.00,0.00,0.00,65.10,77.50,178.80,175.70,0.00,3.10,0.00,3.10,0.00,0.00,28.50,50.00,12.10,93.70,40.60,,,,,,,,,,,,
Guinea-Bissau,2019,1.20,0.00,0.00,1.20,0.00,0.00,0.00,67.30,79.20,192.70,189.70,0.00,3.10,0.00,3.10,0.00,0.00,31.00,54.30,12.90,98.70,40.50,,,,,,,,,,,,
Guinea-Bissau,2020,1.20,0.00,0.00,1.20,0.00,0.00,0.00,71.70,81.00,208.90,205.80,0.00,3.10,0.00,3.10,0.00,0.00,NA,NA,NA,104.40,40.50,,,,,,,,,,,,
Guinea,2013,131.60,128.20,0.00,3.40,0.00,0.00,0.00,0.00,1743.00,1182.50,598.50,0.00,584.10,579.80,4.30,0.00,0.00,31.40,77.00,7.30,102.50,151.10,,,,,,,,,,,,
Guinea,2014,131.60,128.20,0.00,3.40,0.00,0.00,0.00,0.00,1743.00,1182.30,521.00,0.00,661.30,654.00,7.30,0.00,0.00,32.70,78.70,8.10,100.10,147.60,,,,,,,,,,,,
Guinea,2015,381.50,368.20,0.00,13.30,0.00,0.00,0.00,0.00,243.20,1239.70,544.20,0.00,695.50,688.10,7.40,0.00,0.00,34.00,80.30,8.90,102.50,20.10,,,,,,,,,,,,
Guinea,2016,381.50,368.20,0.00,13.30,0.00,0.00,0.00,0.00,256.50,1300.90,568.70,0.00,732.20,724.70,7.50,0.00,0.00,33.50,82.20,6.70,104.90,20.70,,,,,,,,,,,,
Guinea,2017,381.50,368.20,0.00,13.30,0.00,0.00,0.00,0.00,270.70,1814.50,594.80,0.00,1219.80,1212.10,7.70,0.00,0.00,35.40,84.20,8.20,142.70,21.30,,,,,,,,,,,,
Guinea,2018,381.60,368.20,0.00,13.40,0.00,0.00,0.00,0.00,285.90,1921.70,732.30,0.00,1189.40,1181.50,7.90,0.00,0.00,44.00,87.00,19.70,147.20,21.90,,,,,,,,,,,,
Guinea,2019,381.60,368.20,0.00,13.40,0.00,0.00,0.00,0.00,302.30,2029.30,767.40,0.00,1261.90,1253.80,8.10,0.00,0.00,42.40,87.70,16.40,151.50,22.60,,,,,,,,,,,,
Guinea,2020,381.60,368.20,0.00,13.40,0.00,0.00,0.00,0.00,320.10,2148.20,805.30,0.00,1342.90,1334.50,8.30,0.00,0.00,NA,NA,NA,156.20,23.30,,,,,,,,,,,,
Kenya,2013,1107.20,821.60,5.70,7.20,67.20,205.50,39.00,87.00,7307.00,8736.50,2726.00,0.00,6010.50,3945.00,41.50,17.00,2007.00,39.90,72.90,29.10,194.90,163.00,,,,,,,,,,,,
Kenya,2014,1278.40,822.40,5.80,16.70,67.30,366.10,40.00,79.00,7688.00,9258.00,1714.00,0.00,7544.00,3310.00,39.00,136.00,4059.00,36.00,68.40,25.10,201.20,167.00,,,,,,,,,,,,
Kenya,2015,1577.30,828.40,26.10,30.80,88.10,603.90,45.00,67.00,7877.40,9651.00,1205.00,0.00,8446.00,3787.00,58.00,122.00,4479.00,41.60,78.10,29.00,204.30,166.80,,,,,,,,,,,,
Kenya,2016,1612.80,828.80,26.10,31.90,88.10,637.90,22.00,184.00,8168.40,9752.90,2020.00,0.00,7732.90,3341.90,64.00,123.00,4204.00,53.10,84.30,42.10,201.30,168.60,,,,,,,,,,,,
Kenya,2017,1635.40,834.10,26.20,39.10,88.10,647.90,42.10,214.60,8453.40,10360.40,2426.40,0.00,7934.00,3462.10,65.30,126.00,4280.60,56.10,84.10,46.00,208.50,170.10,,,,,,,,,,,,
Kenya,2018,2029.70,836.60,336.10,105.10,88.10,663.80,132.90,228.00,8761.20,11708.20,2075.70,0.00,9632.50,3986.40,389.30,129.00,5127.80,61.40,87.60,51.80,229.80,172.00,,,,,,,,,,,,
Kenya,2019,2190.70,836.60,336.10,106.10,88.10,823.80,141.20,243.20,9094.50,11994.80,2118.00,0.00,9876.70,4109.90,404.70,132.00,5230.20,69.70,90.80,61.70,229.70,174.20,,,,,,,,,,,,
Kenya,2020,2190.80,836.60,336.10,106.20,88.10,823.80,155.60,265.20,9456.50,12306.60,2161.20,0.00,10145.40,4239.30,428.10,135.00,5343.00,NA,NA,NA,230.10,176.80,,,,,,,,,,,,
Libya,2013,4.90,0.00,0.00,4.90,0.00,0.00,1.00,64.00,14253.00,37921.80,37913.00,0.00,8.80,0.00,8.80,0.00,0.00,76.70,95.30,7.80,6120.40,2300.40,,,,,,,,,,,,
Libya,2014,4.90,0.00,0.00,4.90,0.00,0.00,0.00,88.00,10890.00,37740.00,37731.00,0.00,9.00,0.00,9.00,0.00,0.00,75.10,93.00,7.70,6083.10,1755.30,,,,,,,,,,,,
Libya,2015,4.90,0.00,0.00,4.90,0.00,0.00,0.00,0.00,11676.00,37511.00,37503.00,0.00,8.00,0.00,8.00,0.00,0.00,73.50,90.70,7.60,6016.20,1872.70,,,,,,,,,,,,
Libya,2016,4.90,0.00,0.00,4.90,0.00,0.00,0.00,376.00,13980.00,36430.00,36422.00,0.00,8.00,0.00,8.00,0.00,0.00,71.90,88.50,7.60,5788.70,2221.40,,,,,,,,,,,,
Libya,2017,5.10,0.00,0.00,5.10,0.00,0.00,0.00,376.10,14562.30,37412.80,37404.50,0.00,8.30,0.00,8.30,0.00,0.00,70.30,86.20,7.50,5869.00,2284.40,,,,,,,,,,,,
Libya,2018,5.10,0.00,0.00,5.10,0.00,0.00,0.00,390.10,15177.90,38443.70,38435.20,0.00,8.50,0.00,8.50,0.00,0.00,67.00,81.80,7.20,5941.00,2345.50,,,,,,,,,,,,
Libya,2019,5.10,0.00,0.00,5.10,0.00,0.00,0.00,412.00,15830.00,39525.10,39516.30,0.00,8.80,0.00,8.80,0.00,0.00,68.50,83.40,7.50,6016.10,2409.50,,,,,,,,,,,,
Libya,2020,5.10,0.00,0.00,5.10,0.00,0.00,0.00,442.30,16522.00,40659.50,40650.30,0.00,9.20,0.00,9.20,0.00,0.00,NA,NA,NA,6103.00,2480.00,,,,,,,,,,,,
Madagascar,2013,167.40,162.00,0.20,5.00,0.20,0.00,0.00,0.00,961.70,2400.20,1542.10,0.00,858.10,857.60,0.00,0.00,0.50,12.90,34.30,1.90,104.50,41.90,,,,,,,,,,,,
Madagascar,2014,170.10,162.70,0.20,7.00,0.20,0.00,0.00,0.00,1007.10,2475.00,1573.00,0.00,902.00,901.00,0.00,0.00,1.00,19.00,51.50,1.90,104.90,42.70,,,,,,,,,,,,
Madagascar,2015,173.10,163.70,0.20,9.00,0.20,0.00,0.00,0.00,1011.10,2650.00,1678.40,0.00,971.60,970.60,0.00,0.00,1.00,20.50,55.60,1.50,109.30,41.70,,,,,,,,,,,,
Madagascar,2016,175.10,163.70,0.20,11.00,0.20,0.00,0.00,0.00,1057.00,2738.40,1690.70,0.00,1047.70,1046.70,0.00,0.00,1.00,22.90,61.20,1.50,110.00,42.50,,,,,,,,,,,,
Madagascar,2017,177.20,163.80,0.20,13.00,0.20,0.00,0.00,0.00,1664.30,2255.40,1444.70,0.00,810.80,783.80,0.00,26.00,1.00,24.10,62.70,1.90,88.20,65.10,,,,,,,,,,,,
Madagascar,2018,197.60,163.80,0.20,33.40,0.20,0.00,0.00,0.00,1318.80,2437.80,1564.00,0.00,873.80,846.40,0.00,26.40,1.00,25.50,65.40,1.90,92.80,50.20,,,,,,,,,,,,
Madagascar,2019,198.40,163.80,0.20,34.20,0.20,0.00,0.00,0.00,1371.70,2637.10,1699.30,0.00,937.90,909.70,0.00,27.10,1.00,26.90,67.90,1.90,97.80,50.90,,,,,,,,,,,,
Madagascar,2020,201.30,163.80,0.20,37.10,0.20,0.00,0.00,0.00,1428.70,2860.10,1853.30,0.00,1006.80,978.60,0.00,28.20,0.00,NA,NA,NA,103.30,51.60,,,,,,,,,,,,
Malawi,2013,304.70,287.30,0.00,5.40,12.00,0.00,0.00,0.00,3368.70,2436.20,43.40,0.00,2392.80,2380.20,12.10,0.00,0.50,9.00,36.60,3.80,147.00,203.20,,,,,,,,,,,,
Malawi,2014,371.00,351.30,0.00,7.70,12.00,0.00,0.00,0.00,3658.80,2639.90,8.00,0.00,2631.90,2618.00,12.90,0.00,1.00,11.90,46.10,5.30,154.70,214.40,,,,,,,,,,,,
Malawi,2015,375.40,351.30,0.00,12.10,12.00,0.00,0.00,0.00,3646.60,2681.10,8.10,0.00,2672.90,2658.80,13.10,0.00,1.00,10.80,48.70,3.40,152.60,207.50,,,,,,,,,,,,
Malawi,2016,375.70,351.60,0.00,12.10,12.00,0.00,0.00,0.00,3823.10,2724.80,8.20,0.00,2716.60,2702.10,13.50,0.00,1.00,11.00,42.00,4.90,150.60,211.30,,,,,,,,,,,,
Malawi,2017,382.80,351.60,0.00,19.20,12.00,0.00,0.10,0.00,3871.50,2771.10,8.40,0.00,2762.80,2747.80,14.00,0.00,1.00,12.70,57.50,3.70,148.80,207.90,,,,,,,,,,,,
Malawi,2018,401.70,367.00,0.00,22.70,12.00,0.00,0.10,0.00,3921.90,2819.90,8.50,0.00,2811.40,2795.80,14.60,0.00,1.00,18.00,50.50,11.40,147.10,204.60,,,,,,,,,,,,
Malawi,2019,408.60,373.90,0.00,22.70,12.00,0.00,0.10,0.00,3974.40,2871.10,8.60,0.00,2862.50,2846.30,15.20,0.00,1.00,11.20,45.50,4.10,145.60,201.60,,,,,,,,,,,,
Malawi,2020,409.90,373.90,0.00,24.00,12.00,0.00,0.10,0.00,4028.80,3400.40,8.70,0.00,3391.70,3374.70,16.00,0.00,1.00,NA,NA,NA,167.60,198.60,,,,,,,,,,,,
Mauritius,2013,151.50,60.70,1.30,2.50,87.00,0.00,0.00,0.00,2660.00,2885.30,2291.30,0.00,593.90,94.80,6.30,492.80,0.00,99.40,99.60,99.30,2298.50,2119.00,,,,,,,,,,,,
Mauritius,2014,167.20,60.70,1.30,18.20,87.00,0.00,0.00,0.00,2710.00,2937.00,2341.00,0.00,596.00,91.00,28.00,477.00,0.00,99.40,99.50,99.30,2336.10,2155.60,,,,,,,,,,,,
Mauritius,2015,177.90,60.70,1.30,18.70,97.20,0.00,0.00,0.00,2814.20,2997.00,2316.00,0.00,681.00,122.00,29.00,530.00,0.00,99.40,99.50,99.40,2379.60,2234.50,,,,,,,,,,,,
Mauritius,2016,195.80,60.70,10.60,27.30,97.20,0.00,0.00,0.00,2826.00,3058.30,2378.00,0.00,680.30,116.30,48.00,516.00,0.00,99.50,99.50,99.50,2423.10,2239.10,,,,,,,,,,,,
Mauritius,2017,197.40,60.70,10.60,28.80,97.20,0.00,0.00,0.00,3032.90,3170.30,2420.50,0.00,749.80,117.50,91.20,541.10,0.00,99.60,99.60,99.60,2505.90,2397.30,,,,,,,,,,,,
Mauritius,2018,236.00,60.70,10.60,67.50,97.20,0.00,0.00,0.00,3259.40,3241.90,2464.50,0.00,777.30,118.70,91.00,567.70,0.00,99.40,99.60,99.30,2556.00,2569.90,,,,,,,,,,,,
